# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster244     COVAR   16076       8.1952     0.012266       4.6969     0.040521
Cluster245     COVAR   16076        7.095     0.010254       4.9914     0.077604
Cluster246     COVAR   16076        1.525    0.0027226       4.1115      0.35536
Cluster247     COVAR   16076        4.585    0.0071675       4.4753      0.15281
Cluster248     COVAR   16076       7.3863     0.010968       4.8631     0.064411
Cluster249     COVAR   16076       10.544     0.013939       5.4882     0.027358
Cluster25      COVAR   16076       1.3103    0.0064356       1.4097      0.17634
Cluster250     COVAR   16076       9.8696     0.016796        4.376     0.012062
Cluster251     COVAR   16076       9.0666     0.014285       4.6415     0.025397
Cluster252     COVAR   16076       8.4713     0.012548       4.9728     0.044246
Cluster253     COVAR   16076       3.3968    0.0051482       4.7446      0.23702
Cluster254     COVAR   16076       3.3324    0.0063274       3.6598      0.18128
Cluster255     COVAR   16076        6.355    0.0099745       4.5094     0.079386
Cluster256     COVAR   16076       8.2988     0.012579       4.7053       0.0389
Cluster257     COVAR   16076       9.9618     0.013384       5.3893      0.03228
Cluster258     COVAR   16076       7.2843     0.010842       4.7351     0.061993
Cluster259     COVAR   16076       8.2512     0.010895       5.5149     0.067318
Cluster26      COVAR   16076       1.5713     0.008119       1.3313      0.11896
Cluster260     COVAR   16076       9.1316      0.01282       5.0983     0.036648
Cluster261     COVAR   16076       4.4952     0.006534       4.9551      0.18216
Cluster262     COVAR   16076       7.5547     0.010102       5.4484     0.082793
Cluster263     COVAR   16076       9.0845     0.013046       5.0117     0.034952
Cluster264     COVAR   16076       15.332     0.022558       4.8759   0.00083391
Cluster265     COVAR   16076       14.941     0.023089       4.6048   0.00058931
Cluster266     COVAR   16076       8.0068     0.011658       4.8851     0.050617
Cluster267     COVAR   16076       5.6298    0.0081463       4.9346      0.12697
