# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster284     COVAR   16361       23.611     0.034348       6.2669   8.2778e-05
Cluster285     COVAR   16361       22.329     0.032176       6.0792   0.00012033
Cluster286     COVAR   16361       26.902     0.038349       6.4432   1.4976e-05
Cluster287     COVAR   16361       15.197     0.024917       5.4562    0.0026785
Cluster288     COVAR   16361       20.635      0.02908       6.4744   0.00071991
Cluster289     COVAR   16361       14.202      0.02488       5.0683    0.0025422
Cluster29      COVAR   16361      -2.1069    -0.015679       1.1178      0.97026
Cluster290     COVAR   16361       7.7716     0.012275       5.5021     0.078914
Cluster291     COVAR   16361       9.4085     0.013549       6.2182     0.065145
Cluster292     COVAR   16361       10.277     0.015562       5.8886     0.040483
