# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster310     COVAR   16076       4.1062     0.010257       3.0972     0.092467
Cluster311     COVAR   16076       2.6573    0.0078931       2.5979       0.1532
Cluster312     COVAR   16076       2.4496    0.0079137        2.388      0.15251
Cluster313     COVAR   16076     -0.44732   -0.0016017       1.9866      0.58907
Cluster314     COVAR   16076      0.85221    0.0050563       1.1818      0.23544
Cluster315     COVAR   16076       2.0424    0.0038585       3.8658      0.29864
Cluster316     COVAR   16076     -0.86833   -0.0023469       2.7796      0.62263
Cluster317     COVAR   16076     -0.78043   -0.0019313        3.136      0.59827
Cluster318     COVAR   16076      -1.3305   -0.0029088       3.4088      0.65185
Cluster319     COVAR   16076     0.045962   9.7941e-05       3.5014      0.49476
Cluster32      COVAR   16076       7.4558      0.02144       2.6652    0.0025791
Cluster320     COVAR   16076      0.20919   0.00049677       3.1946       0.4739
Cluster321     COVAR   16076       1.0187    0.0020267       3.6867      0.39116
Cluster322     COVAR   16076      -3.4139   -0.0094421       2.6523      0.90097
Cluster323     COVAR   16076      -3.1727   -0.0060652        3.859      0.79449
Cluster324     COVAR   16076      -4.7305   -0.0091194          3.9      0.88742
Cluster325     COVAR   16076       -4.849   -0.0090564       4.0421      0.88485
Cluster326     COVAR   16076      -3.0915   -0.0059558       3.9356      0.78391
Cluster327     COVAR   16076      -2.0016   -0.0034242       4.3252      0.67823
Cluster328     COVAR   16076      -2.8411   -0.0048727       4.2774      0.74671
Cluster329     COVAR   16076      -3.2104   -0.0048882       4.9192        0.743
Cluster33      COVAR   16076        8.554     0.021763       2.9388    0.0018059
Cluster330     COVAR   16076      -4.1397   -0.0076942       3.8772      0.85717
Cluster331     COVAR   16076       3.0524    0.0053867        4.105      0.22857
Cluster332     COVAR   16076      -2.2549   -0.0036534       4.6079       0.6877
Cluster333     COVAR   16076     -0.46042  -0.00096946       3.6036      0.55083
Cluster334     COVAR   16076       -1.261   -0.0041253       2.3745      0.70231
Cluster335     COVAR   16076     -0.70693   -0.0019697       2.6577      0.60488
Cluster336     COVAR   16076      -1.0719   -0.0028206       2.8297      0.64758
Cluster337     COVAR   16076      -6.9684    -0.018109       2.7721      0.99402
Cluster338     COVAR   16076      -6.3586    -0.016678       2.9783      0.98361
Cluster339     COVAR   16076       -8.412    -0.014446       4.1832      0.97782
Cluster34      COVAR   16076       9.0835     0.022136       3.0053    0.0012558
Cluster340     COVAR   16076       3.3066    0.0079795       3.0213      0.13689
Cluster341     COVAR   16076       2.3687    0.0051655       3.1824      0.22835
Cluster342     COVAR   16076      -3.5498   -0.0098195       2.7524      0.90142
Cluster343     COVAR   16076      -1.2865   -0.0037307       2.6685      0.68513
Cluster344     COVAR   16076       5.3418     0.011119       3.9144     0.086193
Cluster345     COVAR   16076       3.6102     0.010154       2.7817     0.097185
Cluster346     COVAR   16076     -0.47242   -0.0013763       2.5737      0.57282
Cluster347     COVAR   16076       1.0737    0.0021522       3.8012       0.3888
Cluster348     COVAR   16076       1.9699    0.0054015       3.0379      0.25835
Cluster349     COVAR   16076       1.2225    0.0024903       3.8465      0.37531
Cluster35      COVAR   16076       8.8285     0.021569       3.0014    0.0016362
Cluster350     COVAR   16076       3.0378    0.0051221       4.4906      0.24938
Cluster351     COVAR   16076      0.38936   0.00069164       4.1236      0.46239
Cluster352     COVAR   16076      -2.8337   -0.0047301       4.4612      0.73734
Cluster353     COVAR   16076      -5.7331   -0.0099869       4.2249      0.91259
Cluster354     COVAR   16076      -8.2359    -0.011134       5.4778      0.93363
Cluster355     COVAR   16076       4.2273    0.0051273       6.1463       0.2458
Cluster356     COVAR   16076       2.9621    0.0038769       5.6924      0.30141
Cluster357     COVAR   16076      -1.4416   -0.0024267       4.4432       0.6272
Cluster358     COVAR   16076      -1.8525   -0.0025215       5.4795      0.63234
Cluster359     COVAR   16076      -5.3645   -0.0088381       4.4431      0.88634
Cluster36      COVAR   16076       6.4556      0.01634       2.8595     0.011992
Cluster360     COVAR   16076      -1.2387   -0.0020762       4.5202      0.60797
Cluster361     COVAR   16076      -2.2568   -0.0039757       4.1433      0.70701
Cluster362     COVAR   16076      -4.7346   -0.0073514        4.732      0.84147
Cluster363     COVAR   16076     -0.69924    -0.001463       3.3475      0.58273
Cluster364     COVAR   16076      -2.0572   -0.0034632       4.1815      0.68863
Cluster365     COVAR   16076      -1.8976   -0.0026088        5.352      0.63854
Cluster366     COVAR   16076       1.1261    0.0019603        4.258      0.39571
Cluster367     COVAR   16076      -1.9655   -0.0024548       5.9113      0.63024
Cluster368     COVAR   16076      -1.3252   -0.0026998       3.2097      0.66015
Cluster369     COVAR   16076      -3.0458   -0.0041566       5.4115      0.71322
Cluster37      COVAR   16076       1.8456    0.0058557       2.2076      0.20158
Cluster370     COVAR   16076      -7.0103   -0.0097734       5.4735      0.89985
Cluster371     COVAR   16076      -2.3989   -0.0046846       3.7479      0.73893
Cluster372     COVAR   16076      -1.4542    -0.002379       4.5345      0.62578
