# MEAN_SAMPLE_SIZE = 51090
# TOTAL_GENES = 16327
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster305     COVAR   16327       8.8272     0.022107       3.0902    0.0021449
Cluster306     COVAR   16327       5.1049     0.011004       3.6371     0.080235
Cluster307     COVAR   16327       6.2338     0.012628       3.9422     0.056917
Cluster308     COVAR   16327       2.2539    0.0057478       3.1261      0.23546
Cluster309     COVAR   16327       6.1194     0.012338       3.9927     0.062691
Cluster31      COVAR   16327      -2.0211    -0.012591       1.2665      0.94472
Cluster310     COVAR   16327       9.5458      0.02383       3.1498    0.0012229
Cluster311     COVAR   16327       7.2125     0.021393       2.5748    0.0025494
Cluster312     COVAR   16327       5.8441     0.019239        2.406    0.0075782
Cluster313     COVAR   16327      0.27209    0.0010652       2.0055      0.44604
Cluster314     COVAR   16327     0.074358   0.00043704       1.2904      0.47702
Cluster315     COVAR   16327       10.049     0.018824       4.2087    0.0084837
Cluster316     COVAR   16327      -1.5303   -0.0040972       3.0046      0.69473
Cluster317     COVAR   16327       1.9363     0.004747       3.3876       0.2838
Cluster318     COVAR   16327       2.3104    0.0050031       3.7099      0.26672
Cluster319     COVAR   16327       5.2805     0.011052        3.797     0.082168
Cluster32      COVAR   16327     -0.72764   -0.0021275       2.6886      0.60666
Cluster320     COVAR   16327      0.72269    0.0016925       3.4714      0.41754
Cluster321     COVAR   16327      0.69831    0.0013749        3.999      0.43069
Cluster322     COVAR   16327       2.1226    0.0058257         3.02      0.24108
Cluster323     COVAR   16327       12.105     0.023062       3.9988    0.0012367
Cluster324     COVAR   16327       6.1864     0.011846       4.1542     0.068227
Cluster325     COVAR   16327       8.0194     0.014714        4.332     0.032081
Cluster326     COVAR   16327        8.478     0.016198       4.1671     0.020962
Cluster327     COVAR   16327       12.132     0.020619       4.7527    0.0053517
Cluster328     COVAR   16327       9.1861     0.015592       4.6302      0.02364
Cluster329     COVAR   16327       15.443     0.023606       5.1914    0.0014691
Cluster33      COVAR   16327      -1.6922   -0.0043461       3.0734      0.70904
Cluster330     COVAR   16327       5.8602     0.010839       4.2994     0.086446
Cluster331     COVAR   16327       8.8153     0.015448       4.1728     0.017329
Cluster332     COVAR   16327       13.169     0.021118       4.8745    0.0034535
Cluster333     COVAR   16327       3.9629    0.0082284       3.8209      0.14984
Cluster334     COVAR   16327       5.0941     0.016517       2.4581     0.019124
Cluster335     COVAR   16327       3.5362    0.0097742       2.8492      0.10729
Cluster336     COVAR   16327       3.2174     0.007834       3.2696      0.16256
Cluster337     COVAR   16327     -0.33131  -0.00085807         2.96      0.54456
Cluster338     COVAR   16327       2.0449    0.0053532       3.1525      0.25828
Cluster339     COVAR   16327       2.6726    0.0046066       4.3803      0.27089
Cluster34      COVAR   16327      -1.9627   -0.0048201       3.1879      0.73094
Cluster340     COVAR   16327       3.1056    0.0074349       3.2193      0.16736
Cluster341     COVAR   16327       4.2969    0.0093024       3.4993      0.10975
Cluster342     COVAR   16327       2.7599    0.0075724       2.9054      0.17108
Cluster343     COVAR   16327       3.7647     0.010801       2.9704      0.10251
Cluster344     COVAR   16327       7.8004      0.01609       3.9587     0.024402
Cluster345     COVAR   16327       1.7579    0.0048872       2.8841       0.2711
Cluster346     COVAR   16327       2.4267    0.0069925       2.7458      0.18841
Cluster347     COVAR   16327       6.6983     0.013345       4.1482     0.053196
Cluster348     COVAR   16327       3.7527     0.010217       3.1311      0.11537
Cluster349     COVAR   16327     -0.04815  -9.7365e-05       3.9899      0.50481
Cluster35      COVAR   16327      -1.6561   -0.0040806       3.1927      0.69802
Cluster350     COVAR   16327       7.7707     0.013013       4.7671     0.051555
Cluster351     COVAR   16327       9.0062     0.016105       4.4281     0.020992
Cluster352     COVAR   16327       8.6656     0.014375       4.7085     0.032865
Cluster353     COVAR   16327       1.0513    0.0018231       4.3319      0.40412
Cluster354     COVAR   16327       12.853     0.017323       5.8447     0.013947
Cluster355     COVAR   16327       11.856     0.014343       6.5336     0.034801
Cluster356     COVAR   16327       9.1178     0.011829       5.9654     0.063211
Cluster357     COVAR   16327        3.155    0.0052747       4.5483      0.24395
Cluster358     COVAR   16327       12.969      0.01766       5.7485     0.012041
Cluster359     COVAR   16327       8.6998     0.014235       4.5936     0.029129
Cluster36      COVAR   16327     -0.62008   -0.0015839       3.0632      0.58021
Cluster360     COVAR   16327        7.849     0.012948       4.8072     0.051274
Cluster361     COVAR   16327       5.1884     0.009082       4.3733      0.11775
Cluster362     COVAR   16327       1.1169    0.0017263       5.2065      0.41507
Cluster363     COVAR   16327       7.9656     0.016137       3.9185     0.021046
Cluster364     COVAR   16327       12.322     0.020581       4.7318    0.0046098
Cluster365     COVAR   16327       7.9962     0.010946        5.746      0.08203
Cluster366     COVAR   16327       8.5118     0.014694       4.4489     0.027868
Cluster367     COVAR   16327       10.977     0.013651       6.3153     0.041095
Cluster368     COVAR   16327       6.9012     0.013948       3.8873     0.037935
Cluster369     COVAR   16327       7.4466     0.010252       5.6412     0.093422
Cluster37      COVAR   16327      -3.9251    -0.012434       2.4864      0.94278
Cluster370     COVAR   16327       9.8898     0.013757       5.4458     0.034693
Cluster371     COVAR   16327        7.945     0.015388       4.0542     0.025027
Cluster372     COVAR   16327       3.5271     0.005729       4.8868      0.23523
Cluster373     COVAR   16327        4.056    0.0064928       4.9131      0.20454
Cluster374     COVAR   16327       5.1725    0.0087555       4.5973      0.13028
Cluster375     COVAR   16327       9.5063     0.017348       4.2489     0.012641
Cluster376     COVAR   16327        12.65     0.019052       5.0843    0.0064272
Cluster377     COVAR   16327       13.065     0.021347       4.7291      0.00287
Cluster378     COVAR   16327       4.4996    0.0075562       4.5597      0.16187
Cluster379     COVAR   16327       3.0249    0.0056252       4.1787      0.23457
Cluster38      COVAR   16327      -4.6975     -0.01594       2.2541      0.98141
Cluster380     COVAR   16327       7.9515     0.013509       4.6753     0.044507
Cluster381     COVAR   16327       11.179     0.020358       4.4161    0.0056872
Cluster382     COVAR   16327       10.965     0.019305       4.4849    0.0072501
Cluster383     COVAR   16327       9.1288      0.01675       3.9329     0.010148
Cluster384     COVAR   16327       12.897     0.019105       5.4248    0.0087227
Cluster385     COVAR   16327       8.4383     0.011456       5.7732     0.071933
Cluster386     COVAR   16327       9.1257     0.016828       4.1567     0.014075
Cluster387     COVAR   16327       3.2371    0.0060861         4.28      0.22473
Cluster388     COVAR   16327       6.3157     0.012292        3.781     0.047432
Cluster389     COVAR   16327       9.1813     0.013683       5.3311     0.042526
Cluster39      COVAR   16327      -1.9281   -0.0087951       1.6918      0.87278
Cluster390     COVAR   16327       6.5724    0.0088833       5.7322      0.12579
Cluster391     COVAR   16327        5.439    0.0095646       4.2803      0.10193
Cluster392     COVAR   16327       8.8103     0.012991       5.1993     0.045097
Cluster393     COVAR   16327       6.6005    0.0089518       5.9237       0.1326
Cluster394     COVAR   16327       6.3847     0.011444       4.3723     0.072123
Cluster395     COVAR   16327       2.6617    0.0065143       3.1266       0.1973
Cluster396     COVAR   16327       5.2215    0.0090698       4.3358      0.11426
Cluster397     COVAR   16327       4.3679    0.0096673       3.4545      0.10305
Cluster398     COVAR   16327       2.4288    0.0057592       3.2544      0.22775
Cluster399     COVAR   16327      -1.4025   -0.0045645       2.4529      0.71626
Cluster4       COVAR   16327     -0.51424   -0.0045217      0.89078      0.71812
Cluster40      COVAR   16327       2.4027    0.0074032       2.5436      0.17244
Cluster400     COVAR   16327       3.9815     0.012187        2.675     0.068334
Cluster401     COVAR   16327       6.0718      0.01378       3.3984     0.037006
Cluster402     COVAR   16327      -2.8184   -0.0055825       3.9353      0.76306
Cluster403     COVAR   16327       7.9788     0.014495       4.1916     0.028497
Cluster404     COVAR   16327       19.374     0.022499       6.5804    0.0016219
Cluster405     COVAR   16327       12.182     0.014692       6.4773     0.030016
Cluster406     COVAR   16327       5.7249      0.01001       4.4838      0.10085
Cluster407     COVAR   16327       6.9997    0.0091109       5.9208      0.11857
Cluster408     COVAR   16327      0.81757     0.002423       2.3983       0.3666
Cluster409     COVAR   16327       4.4578     0.012282       2.8617     0.059658
Cluster41      COVAR   16327       3.7303    0.0092768       3.1267      0.11643
Cluster410     COVAR   16327       1.8885     0.004346       3.2949      0.28327
Cluster411     COVAR   16327        2.469    0.0057695       3.4231      0.23538
Cluster412     COVAR   16327       1.2208    0.0031516       3.1224      0.34791
Cluster413     COVAR   16327      0.90616    0.0020623       3.2704      0.39086
Cluster414     COVAR   16327       1.1208    0.0026909       3.1648      0.36162
Cluster415     COVAR   16327       2.5123    0.0041736       4.6424       0.2942
Cluster416     COVAR   16327       7.5819     0.013713       4.5142     0.046532
Cluster417     COVAR   16327       7.8674     0.012456       4.9121      0.05463
Cluster418     COVAR   16327      -2.9035   -0.0059037        3.805      0.77728
Cluster419     COVAR   16327       3.6416    0.0047841       5.7465      0.26314
Cluster42      COVAR   16327       7.0565     0.017453       3.1278     0.012041
Cluster420     COVAR   16327       10.212     0.016135       4.7584     0.015938
Cluster421     COVAR   16327       5.1071    0.0080943       4.9993       0.1535
Cluster422     COVAR   16327       10.915     0.013976        6.187     0.038857
Cluster423     COVAR   16327        11.25     0.012501       6.9424     0.052579
Cluster424     COVAR   16327       16.385      0.01901       6.7443    0.0075668
Cluster425     COVAR   16327       11.399     0.014015       6.2574     0.034266
Cluster426     COVAR   16327       16.283      0.01797       7.0938     0.010865
Cluster427     COVAR   16327     -0.16485    -0.000216       5.9596      0.51103
Cluster428     COVAR   16327       10.243     0.013118       6.2739     0.051284
Cluster429     COVAR   16327       15.134     0.022644       5.2669    0.0020337
Cluster43      COVAR   16327       4.2894     0.012875       2.5489     0.046216
Cluster430     COVAR   16327      -2.9624   -0.0047452       5.0879      0.71979
Cluster431     COVAR   16327        1.869    0.0051213       2.7964      0.25196
Cluster432     COVAR   16327      0.48645    0.0017354       2.4196      0.42033
Cluster433     COVAR   16327       1.4999    0.0030208       3.7951      0.34635
Cluster434     COVAR   16327       5.8733     0.010182       4.6509      0.10333
Cluster435     COVAR   16327       5.4613     0.012227       3.5042     0.059571
Cluster436     COVAR   16327       6.8147     0.011444       4.7063     0.073823
Cluster437     COVAR   16327       9.1855     0.015751       4.5905     0.022708
Cluster438     COVAR   16327       7.5304     0.012635       4.8062     0.058591
Cluster439     COVAR   16327       7.5814     0.013754       4.5155     0.046589
Cluster44      COVAR   16327      0.89463    0.0030226       2.2781      0.34727
Cluster440     COVAR   16327       8.6589     0.013418       5.2054     0.048125
Cluster441     COVAR   16327       9.2835     0.014622        5.152     0.035792
