# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster427     COVAR    100   16333       25.156     0.032958       7.2235   0.00024913
Cluster108     COVAR    101   16333       31.825     0.040772       7.4567    9.934e-06
Cluster428     COVAR    101   16333       32.324     0.041356       7.2878   4.6334e-06
Cluster108     COVAR    102   16333       32.938     0.042198       7.4478    4.919e-06
Cluster433     COVAR    102   16333       16.163      0.03259       4.4672   0.00014888
Cluster108     COVAR    103   16333       31.342     0.040153       7.4916   1.4441e-05
Cluster456     COVAR    103   16333       20.396     0.030206       6.3724   0.00068727
Cluster108     COVAR    104   16333        27.37     0.035065       8.1704   0.00040536
Cluster92      COVAR    104   16333       13.233     0.021047       6.6212     0.022837
Cluster109     COVAR    105   16333       22.598     0.030356       7.8275    0.0019478
Cluster120     COVAR    105   16333       17.889     0.024718       7.3059    0.0071762
Cluster109     COVAR    106   16333       17.297     0.023235       7.8804     0.014093
Cluster122     COVAR    106   16333       30.895     0.041659       7.7402   3.2999e-05
Cluster109     COVAR    107   16333       14.238     0.019126       8.0097     0.037751
Cluster123     COVAR    107   16333       36.152      0.04776       8.0138   3.2499e-06
Cluster109     COVAR    108   16333       22.713      0.03051       7.9399    0.0021177
Cluster131     COVAR    108   16333       16.373      0.02281       7.3956      0.01343
Cluster109     COVAR    109   16333       16.261     0.021843       7.4974     0.015056
Cluster132     COVAR    109   16333       39.951     0.063559       6.1492   4.2492e-11
Cluster109     COVAR    110   16333       16.293     0.021887       7.7132     0.017336
Cluster133     COVAR    110   16333       39.407       0.0506       7.9374   3.4843e-07
Cluster109     COVAR    111   16333       23.767     0.031926       7.5822   0.00086243
Cluster136     COVAR    111   16333       14.127      0.02547       5.2961    0.0038271
Cluster109     COVAR    112   16333       22.011     0.029567       7.7089    0.0021535
Cluster138     COVAR    112   16333       17.877     0.030258       6.0833    0.0016509
Cluster109     COVAR    113   16333       21.514       0.0289       8.1752    0.0042544
Cluster139     COVAR    113   16333       15.627     0.023795       7.0278     0.013098
Cluster109     COVAR    114   16333       14.304     0.019214       8.1909     0.040391
Cluster140     COVAR    114   16333       31.596     0.043595       7.8162   2.6604e-05
Cluster109     COVAR    115   16333       16.339     0.021948       8.0717     0.021485
Cluster141     COVAR    115   16333       27.899     0.040105       7.3996   8.1852e-05
Cluster109     COVAR    116   16333       22.855     0.030701       7.8933    0.0018962
Cluster146     COVAR    116   16333       17.232     0.023587       7.6706     0.012346
Cluster109     COVAR    117   16333       17.317     0.023261       8.7863     0.024381
Cluster149     COVAR    117   16333       21.579     0.029125       8.4849     0.005497
Cluster109     COVAR    118   16333       24.142      0.03243       7.4037   0.00055688
Cluster156     COVAR    118   16333       22.428     0.032373       6.5286   0.00029677
Cluster109     COVAR    119   16333        23.85     0.032038        7.531   0.00077195
Cluster167     COVAR    119   16333       16.857     0.027422       5.9551    0.0023255
Cluster109     COVAR    120   16333       19.592     0.026318       7.5702    0.0048318
Cluster177     COVAR    120   16333       31.283     0.043796       7.0018   3.9836e-06
Cluster109     COVAR    121   16333       24.805      0.03332       7.4411    0.0004301
Cluster178     COVAR    121   16333       15.615     0.025093       5.5456    0.0024365
Cluster109     COVAR    122   16333       24.584     0.033023        7.491   0.00051718
Cluster179     COVAR    122   16333       17.023     0.026647       6.3767    0.0038019
Cluster109     COVAR    123   16333       26.172     0.035156       7.3083    0.0001717
Cluster202     COVAR    123   16333       17.383     0.028832       5.6014   0.00095872
Cluster109     COVAR    124   16333        26.29     0.035316       7.2939   0.00015701
Cluster206     COVAR    124   16333        15.22     0.030665       4.7253   0.00064057
Cluster109     COVAR    125   16333       21.181     0.028453       7.4064    0.0021225
Cluster217     COVAR    125   16333       41.984     0.050284       8.3058   2.1831e-07
Cluster109     COVAR    126   16333       24.009     0.032252       7.3387   0.00053613
Cluster220     COVAR    126   16333       26.688      0.04087       6.3271   1.2408e-05
Cluster109     COVAR    127   16333       25.765      0.03461       7.3072   0.00021172
Cluster223     COVAR    127   16333       18.458     0.032644       5.3818   0.00030313
Cluster109     COVAR    128   16333       24.102     0.032376       7.3412   0.00051481
Cluster224     COVAR    128   16333       27.916     0.039512       6.7732   1.8933e-05
Cluster109     COVAR    129   16333       23.944     0.032163       7.3147    0.0005328
Cluster225     COVAR    129   16333       28.593     0.044727       6.1493   1.6776e-06
Cluster109     COVAR    130   16333       23.118     0.031054       7.3673    0.0008527
Cluster226     COVAR    130   16333       30.965     0.042717       7.0281   5.3105e-06
Cluster109     COVAR    131   16333       25.188     0.033835       7.3162   0.00028877
Cluster227     COVAR    131   16333       23.869     0.034943       6.4085   9.8214e-05
Cluster109     COVAR    132   16333       19.084     0.025636       7.4384    0.0051545
Cluster228     COVAR    132   16333       44.773     0.056846       7.7343    3.624e-09
Cluster109     COVAR    133   16333       22.733     0.030538       7.3159    0.0009458
Cluster229     COVAR    133   16333        36.95     0.051305       6.7407   2.1471e-08
Cluster109     COVAR    134   16333       24.742     0.033236       7.2949   0.00034833
Cluster230     COVAR    134   16333       27.411     0.041073       6.1746   4.5498e-06
