# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster389     COVAR   16076       7.0035     0.010439       5.0067     0.080943
Cluster39      COVAR   16076     -0.43051   -0.0019641       1.5119      0.61208
Cluster390     COVAR   16076      -1.8359    -0.002476        5.432      0.63231
Cluster391     COVAR   16076       1.6612    0.0029186       4.0949      0.34249
Cluster392     COVAR   16076      -3.0233   -0.0044474       5.0211      0.72645
Cluster393     COVAR   16076       4.4563    0.0060737       5.4271       0.2058
Cluster394     COVAR   16076       4.3586    0.0078625       4.0071      0.13837
Cluster395     COVAR   16076       3.9076    0.0096445       3.0132      0.09736
Cluster396     COVAR   16076       2.9679    0.0051915       4.0837      0.23369
Cluster397     COVAR   16076      0.12943   0.00028869       3.3082       0.4844
Cluster398     COVAR   16076       1.7259    0.0041339       3.0412       0.2852
Cluster399     COVAR   16076       1.2954    0.0042514        2.303      0.28689
Cluster4       COVAR   16076     -0.31773   -0.0028159      0.78813      0.65658
Cluster40      COVAR   16076      -3.0221    -0.009309       2.3127      0.90434
Cluster400     COVAR   16076     -0.38481   -0.0011896       2.4361      0.56276
Cluster401     COVAR   16076        -3.84    -0.008768       3.1082      0.89165
Cluster402     COVAR   16076      -1.3353   -0.0026438       3.7469      0.63922
Cluster403     COVAR   16076       3.5229    0.0064031       3.8808      0.18201
Cluster404     COVAR   16076       2.7834    0.0032341       6.1275      0.32483
Cluster405     COVAR   16076       5.3706    0.0066564       6.0463      0.18722
Cluster406     COVAR   16076       0.6159    0.0010872       4.6335      0.44713
Cluster407     COVAR   16076       3.5538    0.0046532       5.5856      0.26231
Cluster408     COVAR   16076      -3.8962    -0.011648       2.3163      0.95371
Cluster409     COVAR   16076       -3.368     -0.00928       2.7515      0.88952
Cluster41      COVAR   16076       -2.417   -0.0060139       2.8486      0.80191
Cluster410     COVAR   16076       2.0915    0.0048593       2.9908      0.24218
Cluster411     COVAR   16076      -3.4729   -0.0081789       3.0994      0.86874
Cluster412     COVAR   16076      -3.2227   -0.0083534       3.1532      0.84661
Cluster413     COVAR   16076      -6.6611     -0.01511       3.4816      0.97213
Cluster414     COVAR   16076      -3.8956   -0.0093083       3.0302      0.90069
Cluster415     COVAR   16076      -1.6251   -0.0027023        4.223      0.64981
Cluster416     COVAR   16076      -4.0371   -0.0072829       4.1614        0.834
Cluster417     COVAR   16076      -3.9284   -0.0063014       4.6839      0.79918
Cluster418     COVAR   16076       -3.018   -0.0062324       3.5109      0.80498
Cluster419     COVAR   16076       5.9368    0.0077563       5.6642       0.1473
Cluster42      COVAR   16076     -0.66805   -0.0016438       2.8619      0.59229
Cluster420     COVAR   16076      0.12976   0.00020505       4.4386      0.48834
Cluster421     COVAR   16076      0.26009   0.00041484       4.5758      0.47734
Cluster422     COVAR   16076      -2.1187   -0.0027232       5.8567      0.64123
Cluster423     COVAR   16076       7.8728    0.0087704       6.7105      0.12037
Cluster424     COVAR   16076       8.5293     0.009926       6.2888     0.087518
Cluster425     COVAR   16076       2.7489    0.0033977       5.9028      0.32072
Cluster426     COVAR   16076       3.1084    0.0034547       6.7053      0.32148
Cluster427     COVAR   16076        4.296    0.0056698       5.6704      0.22435
Cluster428     COVAR   16076        7.315    0.0093987       5.8327       0.1049
Cluster429     COVAR   16076       10.423     0.015711       4.8734     0.016237
Cluster43      COVAR   16076     -0.31766  -0.00095599       2.2902      0.55516
Cluster430     COVAR   16076       3.9682    0.0063979       4.6664      0.19756
Cluster431     COVAR   16076      -1.0026   -0.0027708       2.6999      0.64481
Cluster432     COVAR   16076      -1.1001   -0.0039534       2.2019      0.69132
Cluster433     COVAR   16076      -1.2572   -0.0025371       3.6276      0.63554
Cluster434     COVAR   16076      -1.3693   -0.0023865       4.2178      0.62728
Cluster435     COVAR   16076       1.6332    0.0036965       3.1258      0.30067
Cluster436     COVAR   16076       2.2134    0.0037382       4.2669      0.30198
Cluster437     COVAR   16076       1.9055    0.0032881       4.2263      0.32605
