# TOTAL_GENES = 16365
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster278     COVAR   16365       6.7248    0.0097684       5.2039     0.098144
Cluster279     COVAR   16365       8.4846     0.013515       4.6806      0.03495
Cluster28      COVAR   16365      -1.3432    -0.007985       1.2173      0.86506
Cluster280     COVAR   16365       5.9805    0.0094134       4.7072      0.10197
Cluster281     COVAR   16365       6.4156     0.011875       4.0588     0.056987
Cluster282     COVAR   16365     -0.34724   -0.0006744       3.7023      0.53736
Cluster283     COVAR   16365       7.0843    0.0096689       5.5201     0.099693
Cluster284     COVAR   16365       3.4446    0.0050149          5.2      0.25385
Cluster285     COVAR   16365       2.6546    0.0038266       5.0995      0.30134
Cluster286     COVAR   16365       6.0115    0.0085709       5.3245      0.12945
Cluster287     COVAR   16365       8.2397     0.013512       4.4026     0.030646
Cluster288     COVAR   16365       11.482     0.016181        5.318     0.015428
Cluster289     COVAR   16365       2.6573    0.0046561       4.3335      0.26987
Cluster29      COVAR   16365      -1.1064   -0.0082002      0.97763      0.87112
Cluster290     COVAR   16365       4.0781    0.0064287       4.6688      0.19121
Cluster291     COVAR   16365       3.5629    0.0051512       5.1245      0.24345
Cluster292     COVAR   16365       3.5989    0.0054506          4.9      0.23134
Cluster293     COVAR   16365       4.0223    0.0079669       3.8225      0.14635
Cluster294     COVAR   16365       6.9172    0.0098793       5.1947     0.091509
Cluster295     COVAR   16365     0.033915   6.3024e-05       4.0656      0.49667
Cluster296     COVAR   16365       5.3739    0.0085711       4.6312      0.12296
Cluster297     COVAR   16365       1.1344      0.01028      0.72127       0.0579
Cluster298     COVAR   16365       1.2158    0.0025229       3.3441       0.3581
Cluster299     COVAR   16365     -0.48494  -0.00095636       3.5498      0.55433
Cluster3       COVAR   16365      0.15487     0.002352       0.4699      0.37086
Cluster30      COVAR   16365      -1.1722   -0.0055131       1.5622      0.77346
Cluster300     COVAR   16365    -0.050712  -0.00011761       3.0893      0.50655
Cluster301     COVAR   16365       5.4279     0.012456       3.0671     0.038396
Cluster302     COVAR   16365        2.338    0.0073849       2.2462      0.14898
Cluster303     COVAR   16365     0.025803   7.8814e-05       2.3157      0.49555
Cluster304     COVAR   16365       1.1443    0.0027699        2.979      0.35044
Cluster305     COVAR   16365       1.1379    0.0028476        2.767      0.34045
Cluster306     COVAR   16365       2.2209    0.0047869        3.353      0.25388
Cluster307     COVAR   16365       4.8889    0.0098957       3.6289     0.088967
Cluster308     COVAR   16365     -0.56665   -0.0014437       2.8757       0.5781
Cluster309     COVAR   16365       8.1551     0.016501       3.6814     0.013382
Cluster31      COVAR   16365      -1.5148   -0.0094384        1.163      0.90361
Cluster310     COVAR   16365     -0.57288   -0.0014287       3.0066      0.57556
Cluster311     COVAR   16365      -1.2516   -0.0037094       2.5129      0.69077
Cluster312     COVAR   16365     -0.14364  -0.00047264       2.3126      0.52476
Cluster313     COVAR   16365      -2.7109    -0.010598       1.8494      0.92864
Cluster314     COVAR   16365       1.1602    0.0068141       1.2413        0.175
Cluster315     COVAR   16365     -0.42933  -0.00080689        3.823      0.54471
Cluster316     COVAR   16365      -3.3784   -0.0090615       2.8153      0.88493
Cluster317     COVAR   16365      -3.6146   -0.0088647         3.11      0.87743
Cluster318     COVAR   16365      -2.1805   -0.0047379       3.3844       0.7403
Cluster319     COVAR   16365      -3.1999   -0.0067713       3.4139      0.82569
Cluster32      COVAR   16365       2.1946    0.0064143       2.6203      0.20115
Cluster320     COVAR   16365      -4.6993    -0.011064       3.1533      0.93191
Cluster321     COVAR   16365      -3.0776   -0.0060812        3.675      0.79882
Cluster322     COVAR   16365      -2.9291   -0.0080347       2.6864      0.86221
Cluster323     COVAR   16365       5.8481     0.011146       3.7957     0.061707
Cluster324     COVAR   16365       4.9984    0.0095652        3.912      0.10069
Cluster325     COVAR   16365       6.9941     0.012972       3.9858     0.039661
Cluster326     COVAR   16365       3.1282    0.0059812       3.9003      0.21127
Cluster327     COVAR   16365       8.0934     0.013757       4.3529     0.031503
Cluster328     COVAR   16365       11.602      0.01978       4.2713    0.0033053
Cluster329     COVAR   16365       11.845     0.018103       4.8203    0.0070032
Cluster33      COVAR   16365       1.4895    0.0038211       2.9357      0.30595
Cluster330     COVAR   16365       5.6289     0.010407       3.9398     0.076552
Cluster331     COVAR   16365       6.5566     0.011484       3.8507     0.044326
Cluster332     COVAR   16365       9.2721     0.014945       4.4885     0.019436
Cluster333     COVAR   16365       2.3667     0.004937       3.4502      0.24638
Cluster334     COVAR   16365      0.40534    0.0013124        2.206      0.42711
Cluster335     COVAR   16365      -1.8424   -0.0050962       2.6052      0.76028
Cluster336     COVAR   16365      -2.6778   -0.0069941       2.8335      0.82767
Cluster337     COVAR   16365      0.44014    0.0011399       2.7269      0.43589
