VARIABLE,cluster_id,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,n_cells,NGENES,BETA,BETA_STD,SE,P
Cluster307,307,CBI_307,Cerebellar inhibitory,NEUR,GABA,"Cerebellum: 70.3%, Medulla: 12.1%, Pons: 11.7%","Human CBV: 58.9%, Human CBL: 10.0%, Human PnEN: 5.7%","SCGN, TFAP2B, LINC00492, TFAP2A, TPTE2P4, CLCNKA, LIPG, LRRC38, LINC02552, LBX1-AS1",3020,16327,6.2338,0.012628,3.9422,0.056917
Cluster438,438,Midi_438,Midbrain-derived inhibitory,NEUR,GABA,"Midbrain: 44.9%, Thalamus: 38.0%, Hypothalamus: 8.8%","Human SN-RN: 11.6%, Human CM-Pf: 8.9%, Human PAG: 7.1%","AC008163.1, AL161757.4, LINC01210, OTX2, OTX2-AS1, DMBX1, CASR, AL137100.3, SOX14, GATA3",11928,16327,7.5304,0.012635,4.8062,0.058591
Cluster435,435,Midi_435,Midbrain-derived inhibitory,NEUR,GABA,"Midbrain: 54.9%, Thalamus: 43.2%, Pons: 0.8%","Human SN-RN: 24.2%, Human CM-Pf: 13.1%, Human PAG: 7.4%","NPSR1, LINC01210, CASR, SOX14, OTX2, OTX2-AS1, AC007159.1, DMBX1, GATA3, AL161757.4",7340,16327,5.4613,0.012227,3.5042,0.059571
Cluster409,409,Splat_409,Splatter,NEUR,GABA,"Basal forebrain: 66.5%, Amygdala: 14.2%, Thalamus: 9.9%","Human CaB: 17.8%, Human SI: 13.0%, Human NAC: 11.5%","GLP1R, CRABP1, CER1, TAC3, AL096799.1, TRH, LINC02203, NANOS1, NPR3, CHRNA3",6395,16327,4.4578,0.012282,2.8617,0.059658
Cluster309,309,URL_309,Upper rhombic lip,NEUR,VGLUT1 VGLUT2,"Pons: 89.0%, Cerebellum: 8.6%, Medulla: 1.6%","Human PnEN: 37.8%, Human PnAN: 28.2%, Human PB: 12.3%","AC017037.5, AC108517.2, AC084740.1, LMX1A, ABCA13, AC092957.1, TMEM255B, CBLN1, CPLX4, AC080079.2",373,16327,6.1194,0.012338,3.9927,0.062691
Cluster167,167,Misc_167,Miscellaneous,NEUR,VGLUT1,"Hippocampus: 76.8%, Cerebral cortex: 14.3%, Midbrain: 8.2%","Human Sub: 29.3%, Human CA1U-CA2U-CA3U: 25.4%, Human CA1-2R: 15.9%","LINC01524, ANO2, AL109930.1, FRMD6-AS2, AL391097.3, AL031674.1, TRPC6, RASSF9, AL391097.1, SEMA3D",1973,16327,7.1975,0.011713,4.6972,0.062738
Cluster125,125,ULIT_125,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 98.3%, Basal forebrain: 0.9%, Amygdala: 0.4%","Human MTG: 12.0%, Human V2: 10.3%, Human A5-A7: 9.0%","LINC02306, AC110614.1, LINC00507, LINC00326, AC097512.1, LINC00508, AC092440.1, AL132633.1, CYP1B1, AC093607.1",13397,16327,8.6459,0.012001,5.6557,0.063182
Cluster356,356,Splat_356,Splatter,NEUR,GABA,"Midbrain: 67.5%, Pons: 20.1%, Thalamus: 9.5%","Human PTR: 30.3%, Human IC: 11.1%, Human SC: 8.1%","MECOM, COL8A1, GATA3, LHX5-AS1, AC005100.1, GATA3-AS1, LMO1, EBF3, GATA2, TFAP2A",6063,16327,9.1178,0.011829,5.9654,0.063211
Cluster86,86,DLNP_86,Deep-layer near-projecting,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 97.0%, Basal forebrain: 1.8%, Hippocampus: 1.1%","Human M1C: 30.8%, Human S1C: 8.6%, Human Ig: 6.4%","IFNG-AS1, NPSR1-AS1, IL26, ROBO3, AC087863.2, LINC02444, SLC9C1, LINC02218, NPSR1, LINC01479",1508,16327,7.165,0.011908,4.7618,0.066214
Cluster252,252,MGE_252,MGE interneuron,NEUR,GABA VGLUT3,"Cerebral cortex: 85.8%, Hippocampus: 8.0%, Basal forebrain: 3.6%","Human M1C: 11.7%, Human MTG: 6.1%, Human S1C: 4.3%","EDNRA, AL450345.2, NMU, SST, PAWR, TAC3, DCN, PNOC, CYP26A1, ITGA1",16079,16327,8.0556,0.01187,5.3987,0.067843
