# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster339     COVAR   16076       -11.85     -0.02035       4.2445      0.99738
Cluster34      COVAR   16076       2.7842    0.0067849       3.0629      0.18169
Cluster340     COVAR   16076     -0.77381   -0.0018674       3.0756      0.59932
Cluster341     COVAR   16076       2.3893    0.0052104       3.2336         0.23
Cluster342     COVAR   16076     -0.42036   -0.0011628       2.8015      0.55964
Cluster343     COVAR   16076      -3.6062    -0.010458       2.7194      0.90759
Cluster344     COVAR   16076       1.8251    0.0037989       3.9827      0.32338
Cluster345     COVAR   16076       1.1479    0.0032288       2.8361      0.34283
Cluster346     COVAR   16076     -0.99796   -0.0029074       2.6186      0.64844
Cluster347     COVAR   16076      -1.0394   -0.0020833       3.8684      0.60591
Cluster348     COVAR   16076       5.2163     0.014303       3.0907      0.04574
Cluster349     COVAR   16076       4.7548    0.0096856       3.9302      0.11318
Cluster35      COVAR   16076       2.5788    0.0063003       3.0596      0.19966
Cluster350     COVAR   16076     -0.19665  -0.00033158       4.5784      0.51713
Cluster351     COVAR   16076       3.0504    0.0054186       4.1946      0.23355
Cluster352     COVAR   16076      -5.5941   -0.0093377        4.541        0.891
Cluster353     COVAR   16076      -5.0716   -0.0088346       4.3032      0.88071
Cluster354     COVAR   16076      -1.7066   -0.0023071        5.578      0.62018
Cluster355     COVAR   16076       2.7883    0.0033819       6.2723      0.32833
Cluster356     COVAR   16076      0.43648   0.00057127       5.8041      0.47003
Cluster357     COVAR   16076      -1.9086   -0.0032129       4.5367      0.66301
Cluster358     COVAR   16076      -5.7263   -0.0077944       5.5923      0.84706
Cluster359     COVAR   16076      -2.1927   -0.0036125       4.5251        0.686
Cluster36      COVAR   16076       1.0709    0.0027107       2.9118      0.35652
Cluster360     COVAR   16076      -3.5909    -0.006019       4.6042      0.78228
Cluster361     COVAR   16076     -0.73928   -0.0013024       4.2178      0.56957
Cluster362     COVAR   16076       -2.106     -0.00327       4.8168      0.66902
Cluster363     COVAR   16076      -1.9128   -0.0040022       3.4072      0.71274
Cluster364     COVAR   16076      -3.6376   -0.0061236       4.2578      0.80353
Cluster365     COVAR   16076      -7.0047     -0.00963       5.4522      0.90055
Cluster366     COVAR   16076     -0.26732  -0.00046536       4.3394      0.52456
Cluster367     COVAR   16076      -4.3657   -0.0054524       6.0208       0.7658
Cluster368     COVAR   16076      -1.7282   -0.0035208       3.2706      0.70139
Cluster369     COVAR   16076      -3.5852   -0.0048927       5.5108      0.74233
Cluster37      COVAR   16076     -0.10455  -0.00033173       2.2473      0.51855
Cluster370     COVAR   16076      -8.3528    -0.011645       5.5756      0.93293
Cluster371     COVAR   16076      -3.3951   -0.0066302       3.8157       0.8132
