# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster380     COVAR   16076      -1.8793   -0.0032371       4.5117      0.66149
Cluster381     COVAR   16076      -4.7676    -0.008766        4.043      0.88084
Cluster382     COVAR   16076       5.0876    0.0090225       4.4067      0.12416
Cluster383     COVAR   16076      -6.9679     -0.01293       4.0059      0.95901
Cluster384     COVAR   16076      -5.0139   -0.0074622       5.2936      0.82822
Cluster385     COVAR   16076      -1.0381   -0.0014187       5.7329      0.57184
Cluster386     COVAR   16076       2.0134    0.0037351       4.1084      0.31205
Cluster387     COVAR   16076     -0.32767  -0.00061926       3.7387      0.53492
Cluster388     COVAR   16076      -3.6922   -0.0072092       3.9227       0.8267
Cluster389     COVAR   16076      -7.6708    -0.011434        5.236      0.92853
Cluster39      COVAR   16076     -0.25419   -0.0011597       1.5798      0.56391
Cluster390     COVAR   16076      -7.4034   -0.0099844       5.6656      0.90434
Cluster391     COVAR   16076      -1.7614   -0.0030946       4.2757      0.65981
Cluster392     COVAR   16076      -2.7939   -0.0041099       5.2505      0.70267
Cluster393     COVAR   16076      -4.3492   -0.0059277       5.6753      0.77826
Cluster394     COVAR   16076      -3.6069   -0.0065064       4.1907      0.80529
Cluster395     COVAR   16076     -0.54849   -0.0013538       3.1516      0.56908
Cluster396     COVAR   16076      -4.2741   -0.0074764       4.2713      0.84149
Cluster397     COVAR   16076      -2.0181   -0.0045014       3.4652      0.71984
Cluster398     COVAR   16076       2.2495    0.0053883       3.1808      0.23972
Cluster399     COVAR   16076     -0.24076  -0.00079014        2.378      0.54032
Cluster4       COVAR   16076     -0.59657   -0.0052871       0.8234      0.76562
Cluster40      COVAR   16076       2.2779    0.0070164       2.4177      0.17306
Cluster400     COVAR   16076      -1.8109   -0.0055981       2.5507      0.76114
Cluster401     COVAR   16076      -1.5717   -0.0035888       3.2509      0.68561
Cluster402     COVAR   16076       -2.874   -0.0056903       3.8956      0.76967
Cluster403     COVAR   16076      -2.3514   -0.0042739       4.0586      0.71883
Cluster404     COVAR   16076       5.6793    0.0065989       6.4077      0.18773
Cluster405     COVAR   16076       4.9046     0.006079       6.3205      0.21889
Cluster406     COVAR   16076      -7.3887    -0.013042       4.8496      0.93618
Cluster407     COVAR   16076     -0.87202   -0.0011418       5.8245       0.5595
Cluster408     COVAR   16076    -0.033825  -0.00010113        2.433      0.50555
Cluster409     COVAR   16076       6.3216     0.017418       2.8531     0.013365
Cluster41      COVAR   16076       5.6958     0.014172       2.9779     0.027905
Cluster410     COVAR   16076       3.3989    0.0078968       3.1463      0.14001
Cluster411     COVAR   16076      -4.1466   -0.0097656       3.2414      0.89959
Cluster412     COVAR   16076       1.6602    0.0043034       3.3002      0.30747
Cluster413     COVAR   16076      0.93011    0.0021098       3.6613      0.39973
Cluster414     COVAR   16076       1.6526    0.0039488       3.1684      0.30098
Cluster415     COVAR   16076      -11.105    -0.018467        4.388      0.99431
Cluster416     COVAR   16076      -5.0144   -0.0090461       4.3522      0.87536
Cluster417     COVAR   16076        1.447    0.0023211       4.8996      0.38387
Cluster418     COVAR   16076        -1.01   -0.0020857       3.6722      0.60835
Cluster419     COVAR   16076       10.897     0.014237       5.9267     0.032991
Cluster42      COVAR   16076       5.2105     0.012821       2.9908     0.040749
Cluster420     COVAR   16076       2.0296    0.0032074       4.6381      0.33084
Cluster421     COVAR   16076       1.3164    0.0020996       4.7854      0.39163
