# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster321     COVAR   16333       1.0831    0.0021305       4.5948      0.40682
Cluster322     COVAR   16333     0.039067   0.00010709        3.286      0.49526
Cluster323     COVAR   16333       5.1151    0.0097521       4.8778      0.14718
Cluster324     COVAR   16333       8.4425     0.016161       4.9786     0.044979
Cluster325     COVAR   16333       8.0769     0.014816       5.3268     0.064738
Cluster326     COVAR   16333       6.0388     0.011543       5.0506      0.11593
Cluster327     COVAR   16333       10.518     0.017871       5.6531     0.031419
Cluster328     COVAR   16333       15.971     0.027088       5.3812    0.0015021
Cluster329     COVAR   16333       16.198     0.024767       6.2004    0.0044998
Cluster33      COVAR   16333       6.0098     0.015429       3.7768     0.055789
Cluster330     COVAR   16333       4.6662    0.0086297       5.1997      0.18476
Cluster331     COVAR   16333       16.351     0.028644       4.9567   0.00048684
Cluster332     COVAR   16333       13.055      0.02098       5.7685      0.01182
Cluster333     COVAR   16333       2.9485    0.0061499       4.3382      0.24837
Cluster334     COVAR   16333       3.4611     0.011213        3.029      0.12661
Cluster335     COVAR   16333      -4.7486    -0.013099       3.4574      0.91518
Cluster336     COVAR   16333      -8.3403    -0.020302       3.8779      0.98424
Cluster337     COVAR   16333      -4.3024    -0.011137       3.3998      0.89714
Cluster338     COVAR   16333       1.7716    0.0046375       3.6673      0.31453
Cluster339     COVAR   16333       4.8439     0.008331       5.2578      0.17846
Cluster34      COVAR   16333       6.5181     0.015998        3.915     0.047977
Cluster340     COVAR   16333       2.1344    0.0046446       4.1014       0.3014
Cluster341     COVAR   16333       6.4974     0.014061       4.1221     0.057499
Cluster342     COVAR   16333    -0.019747  -5.4134e-05       3.3761      0.50233
Cluster343     COVAR   16333       5.6755     0.016286       3.4163      0.04834
Cluster344     COVAR   16333       2.1021    0.0043382       4.6512      0.32566
Cluster345     COVAR   16333       3.3116    0.0091532       3.4141      0.16604
Cluster346     COVAR   16333       5.5295     0.015927       3.5634     0.060374
Cluster347     COVAR   16333       5.1534     0.010264       4.9707      0.14994
Cluster348     COVAR   16333        1.789    0.0048701       3.7831      0.31815
Cluster349     COVAR   16333       7.9778     0.016127       4.7629      0.04698
Cluster35      COVAR   16333       5.7239     0.014098       3.9238     0.072329
Cluster350     COVAR   16333        17.38     0.029119       5.6494      0.00105
Cluster351     COVAR   16333       4.2736    0.0076515         5.17      0.20424
Cluster352     COVAR   16333       16.867     0.027974         5.58    0.0012553
Cluster353     COVAR   16333       3.5342    0.0061326       5.0606      0.24248
Cluster354     COVAR   16333        7.035    0.0094733       6.9324      0.15511
Cluster355     COVAR   16333        18.72     0.022621         7.75    0.0078633
Cluster356     COVAR   16333       6.3099    0.0081787       6.9498      0.18197
Cluster357     COVAR   16333       6.9727     0.011651       5.4062      0.09858
Cluster358     COVAR   16333       11.356     0.015438       6.8806     0.049444
Cluster359     COVAR   16333       9.6888     0.015862       5.3743     0.035721
Cluster36      COVAR   16333        3.615    0.0092361       3.6929      0.16382
Cluster360     COVAR   16333       18.833     0.031063       5.6429    0.0004238
Cluster361     COVAR   16333       1.7863    0.0031271       5.3593      0.36945
Cluster362     COVAR   16333       4.8797    0.0075318       6.1267      0.21289
Cluster363     COVAR   16333       8.8966     0.018022       4.3324     0.020021
Cluster364     COVAR   16333        15.03     0.025086        5.634    0.0038226
Cluster365     COVAR   16333       4.9567    0.0067762       6.9764      0.23871
Cluster366     COVAR   16333       4.0328    0.0069563       5.4652      0.23029
Cluster367     COVAR   16333       25.115     0.031217        7.524   0.00042301
Cluster368     COVAR   16333       2.6936    0.0054397       4.9128      0.29176
Cluster369     COVAR   16333       17.719      0.02438       6.8305     0.004747
Cluster37      COVAR   16333       3.7685     0.011936       3.0913      0.11142
Cluster370     COVAR   16333       17.064     0.023728       6.8166    0.0061591
Cluster371     COVAR   16333       13.867     0.026853       4.7474    0.0017471
Cluster372     COVAR   16333       11.313     0.018357        5.634     0.022331
Cluster373     COVAR   16333       1.9319    0.0030923        5.624      0.36561
Cluster374     COVAR   16333         4.34    0.0073424       5.5443      0.21688
Cluster375     COVAR   16333       11.665     0.021277       4.9989    0.0098181
Cluster376     COVAR   16333       2.6239    0.0039492       6.2069      0.33624
Cluster377     COVAR   16333       9.7151     0.015864       5.5168      0.03913
Cluster378     COVAR   16333       8.3194      0.01397       5.2784      0.05751
Cluster379     COVAR   16333       7.4674     0.013869       4.9821     0.066968
Cluster38      COVAR   16333        1.798    0.0060998        2.788       0.2595
Cluster380     COVAR   16333       3.3588    0.0056967       5.5313      0.27185
Cluster381     COVAR   16333        4.728    0.0086137       4.8777       0.1662
Cluster382     COVAR   16333       12.593     0.022082       5.4394     0.010309
Cluster383     COVAR   16333       4.6591     0.008541       4.8796      0.16984
Cluster384     COVAR   16333       15.819     0.023397       6.2797      0.00589
Cluster385     COVAR   16333        20.59     0.027862       6.9692    0.0015691
Cluster386     COVAR   16333       12.015        0.022       4.8657    0.0067738
Cluster387     COVAR   16333       12.938     0.024324       5.1463    0.0059754
Cluster388     COVAR   16333       10.847     0.021245       4.6438    0.0097574
Cluster389     COVAR   16333       23.564     0.035108       6.1916   7.1003e-05
Cluster39      COVAR   16333     -0.42945   -0.0019595       2.0878      0.58149
Cluster390     COVAR   16333       15.871     0.021447       6.9011      0.01074
Cluster391     COVAR   16333       14.787      0.02599       4.9803    0.0014965
Cluster392     COVAR   16333       6.2989    0.0092703       6.1605      0.15329
Cluster393     COVAR   16333       17.825     0.024165       6.8753    0.0047685
