VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,bonf_significant,rank,Cluster ID,Cluster name,Supercluster,Class auto-annotation,Top three regions
Cluster112,COVAR,16231,2.9609,0.0044598,7.9825,0.35535,False,326,112.0,DLCT6b_112,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 65.2%, Hippocampus: 33.8%, Amygdala: 0.6%"
Cluster102,COVAR,16231,2.3903,0.0041346,6.5734,0.35807,False,327,102.0,DLCT6b_102,Deep-layer corticothalamic and 6b,NEUR,"Amygdala: 66.6%, Cerebral cortex: 28.9%, Hippocampus: 4.2%"
Cluster45,COVAR,16231,1.1801,0.0039824,3.3949,0.36406,False,328,45.0,Oligo_45,Oligodendrocyte,OLIGO,"Cerebral cortex: 20.0%, Basal forebrain: 18.5%, Midbrain: 15.8%"
Cluster96,COVAR,16231,1.8444,0.0040335,5.5276,0.36932,False,329,96.0,DLNP_96,Deep-layer near-projecting,NEUR,"Cerebral cortex: 85.1%, Amygdala: 7.0%, Basal forebrain: 5.7%"
Cluster213,COVAR,16231,2.3123,0.0038662,7.0176,0.37089,False,330,213.0,MSN_213,Medium spiny neuron,NEUR,"Basal forebrain: 75.5%, Cerebral cortex: 12.2%, Amygdala: 9.4%"
Cluster62,COVAR,16231,1.0142,0.0039171,3.1168,0.37245,False,331,62.0,Astro_62,Astrocyte,ASTRO,"Basal forebrain: 40.2%, Cerebellum: 19.3%, Midbrain: 16.2%"
Cluster176,COVAR,16231,1.7892,0.0036547,5.5361,0.37328,False,332,176.0,Misc_176,Miscellaneous,NEUR,"Hippocampus: 98.8%, Cerebral cortex: 1.0%, Thalamus: 0.2%"
Cluster195,COVAR,16231,1.6374,0.00328,6.1409,0.39487,False,333,195.0,CA4_195,Hippocampal CA4,NEUR,"Hippocampus: 99.4%, Thalamus: 0.5%, Cerebral cortex: 0.1%"
Cluster104,COVAR,16231,1.4053,0.0030533,5.3879,0.39712,False,334,104.0,DLCT6b_104,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 47.1%, Hippocampus: 34.6%, Amygdala: 18.1%"
Cluster166,COVAR,16231,1.6443,0.0030677,6.3259,0.39746,False,335,166.0,Misc_166,Miscellaneous,NEUR,"Cerebral cortex: 79.4%, Hippocampus: 16.1%, Amygdala: 3.1%"
Cluster455,COVAR,16231,1.5034,0.0029851,5.7937,0.39763,False,336,455.0,Thex_455,Thalamic excitatory,NEUR,"Thalamus: 97.9%, Midbrain: 2.1%, Cerebral cortex: 0.0%"
Cluster54,COVAR,16231,0.99959,0.003033,3.9367,0.39978,False,337,54.0,Astro_54,Astrocyte,ASTRO,"Cerebral cortex: 38.8%, Hippocampus: 33.1%, Amygdala: 22.1%"
Cluster394,COVAR,16231,1.5589,0.0027879,6.474,0.40486,False,338,394.0,Splat_394,Splatter,NEUR,"Pons: 92.2%, Midbrain: 6.7%, Medulla: 0.5%"
Cluster46,COVAR,16231,0.78558,0.0026472,3.3778,0.40805,False,339,46.0,Oligo_46,Oligodendrocyte,OLIGO,"Thalamus: 22.7%, Midbrain: 19.9%, Cerebral cortex: 13.7%"
Cluster194,COVAR,16231,1.2445,0.0026893,5.4154,0.40912,False,340,194.0,CA4_194,Hippocampal CA4,NEUR,"Hippocampus: 99.8%, Cerebral cortex: 0.2%, Amygdala: 0.0%"
Cluster36,COVAR,16231,0.72224,0.0018377,4.5945,0.43755,False,341,36.0,OPC_36,Oligodendrocyte precursor,OPC,"Cerebral cortex: 33.7%, Thalamus: 12.5%, Midbrain: 11.5%"
Cluster431,COVAR,16231,0.64823,0.0017718,4.1704,0.43824,False,342,431.0,Splat_431,Splatter,NEUR,"Hypothalamus: 99.7%, Midbrain: 0.2%, Cerebral cortex: 0.0%"
Cluster113,COVAR,16231,0.70646,0.0017771,4.6651,0.43982,False,343,113.0,L5ET_113,Miscellaneous,NEUR,"Cerebral cortex: 100.0%, Amygdala: 0.0%, Hippocampus: 0.0%"
Cluster197,COVAR,16231,0.99657,0.0018094,6.6402,0.44035,False,344,197.0,CA4_197,Hippocampal CA4,NEUR,"Hippocampus: 99.7%, Midbrain: 0.3%, Cerebral cortex: 0.0%"
Cluster326,COVAR,16231,0.78453,0.001501,6.3979,0.4512,False,345,326.0,Mmb_326,Mammillary body,NEUR,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
