# TOTAL_GENES = 16231
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster232     COVAR     99   16231       32.039     0.043595       8.7294   0.00012167
Cluster132     COVAR    100   16231       40.145     0.063901        7.342   2.3218e-08
Cluster233     COVAR    100   16231       45.031     0.059856       8.9005    2.134e-07
Cluster132     COVAR    101   16231       40.492     0.064453       7.3341   1.7197e-08
Cluster234     COVAR    101   16231       48.572     0.060256       9.6338   2.3386e-07
Cluster132     COVAR    102   16231       38.642     0.061509       7.5044   1.3279e-07
Cluster239     COVAR    102   16231       31.916     0.042867       9.2801   0.00029269
Cluster132     COVAR    103   16231       40.254     0.064074       7.4412   3.2177e-08
Cluster240     COVAR    103   16231       27.917     0.036953       9.2095    0.0012197
Cluster132     COVAR    104   16231       40.366     0.064252       7.3867    2.365e-08
Cluster241     COVAR    104   16231       30.898     0.045465       8.4086   0.00011961
Cluster132     COVAR    105   16231       37.448     0.059608       7.4398   2.4423e-07
Cluster242     COVAR    105   16231       46.296     0.059214        9.523    5.898e-07
Cluster132     COVAR    106   16231       40.637     0.064685       7.4006   2.0372e-08
Cluster243     COVAR    106   16231        28.35       0.0405       8.7481   0.00059771
Cluster132     COVAR    107   16231       42.095     0.067005       7.3373   4.9309e-09
Cluster245     COVAR    107   16231       27.748     0.039532       8.6649   0.00068325
Cluster132     COVAR    108   16231       41.674     0.066335       7.3507   7.3284e-09
Cluster250     COVAR    108   16231       24.689     0.041847       7.5452   0.00053526
Cluster132     COVAR    109   16231       37.049     0.058973       7.4023   2.8313e-07
Cluster251     COVAR    109   16231       46.112     0.072071       7.9213   2.9947e-09
Cluster132     COVAR    110   16231       38.972     0.062034       7.4163   7.5272e-08
Cluster252     COVAR    110   16231       36.264     0.053181       8.6047    1.261e-05
Cluster132     COVAR    111   16231        40.47     0.064418       7.4832   3.2444e-08
Cluster259     COVAR    111   16231       24.194     0.031828       9.4625    0.0052873
Cluster132     COVAR    112   16231       40.505     0.064473       7.4591   2.8675e-08
Cluster262     COVAR    112   16231       24.944     0.033193       9.1987    0.0033514
Cluster132     COVAR    113   16231       40.091     0.063816       7.3911   2.9653e-08
Cluster273     COVAR    113   16231       35.367      0.04721       9.2776   6.9222e-05
Cluster132     COVAR    114   16231       41.677      0.06634       7.3712    8.009e-09
Cluster274     COVAR    114   16231       23.781     0.034722       8.3592     0.002225
Cluster132     COVAR    115   16231       41.475     0.066017       7.3584   8.8765e-09
Cluster275     COVAR    115   16231       26.598     0.040003       8.1037   0.00051636
Cluster132     COVAR    116   16231       39.463     0.062816       7.3587   4.1718e-08
Cluster278     COVAR    116   16231         43.3     0.062458       8.4897   1.7214e-07
Cluster132     COVAR    117   16231       41.015     0.065285       7.3439   1.1945e-08
Cluster280     COVAR    117   16231       36.015     0.050278       8.7152   1.8069e-05
Cluster132     COVAR    118   16231       39.281     0.062525       7.3738   5.0797e-08
Cluster283     COVAR    118   16231       43.247     0.058956        8.954   6.9129e-07
Cluster132     COVAR    119   16231       41.123     0.065458       7.3541   1.1471e-08
Cluster284     COVAR    119   16231       30.497     0.044244       8.1911   9.8808e-05
Cluster132     COVAR    120   16231       41.552     0.066141       7.3652   8.6085e-09
Cluster285     COVAR    120   16231       25.335     0.036098        8.261    0.0010842
Cluster132     COVAR    121   16231       37.918     0.060357       7.3907   1.4663e-07
Cluster286     COVAR    121   16231       47.053     0.067043       8.6033   2.3057e-08
Cluster132     COVAR    122   16231       40.518     0.064495        7.356     1.85e-08
Cluster287     COVAR    122   16231       31.257     0.051021       7.3754   1.1358e-05
Cluster132     COVAR    123   16231       38.262     0.060903       7.4154   1.2556e-07
Cluster288     COVAR    123   16231       41.553     0.058399       8.8013   1.1851e-06
Cluster132     COVAR    124   16231       42.433     0.067543       7.3277   3.5893e-09
Cluster289     COVAR    124   16231       20.835     0.036373       6.6409   0.00085413
Cluster132     COVAR    125   16231       41.526     0.066099       7.3487   8.1632e-09
Cluster290     COVAR    125   16231       26.215      0.04109       7.5451   0.00025688
Cluster132     COVAR    126   16231        41.54     0.066121       7.3752   9.0875e-09
Cluster291     COVAR    126   16231       24.029     0.034223       8.2922    0.0018825
Cluster132     COVAR    127   16231       40.819     0.064974       7.3452    1.399e-08
Cluster293     COVAR    127   16231       31.669      0.05089       7.3921   9.2404e-06
Cluster132     COVAR    128   16231       39.461     0.062813       7.3965   4.8595e-08
Cluster294     COVAR    128   16231       36.217     0.050386       8.6293   1.3624e-05
Cluster132     COVAR    129   16231       41.003     0.065266       7.3598   1.2919e-08
Cluster295     COVAR    129   16231       25.229     0.043851        6.836   0.00011233
Cluster132     COVAR    130   16231       40.447     0.064382       7.3781   2.1436e-08
Cluster296     COVAR    130   16231       28.582     0.044335       7.5757   8.1078e-05
Cluster132     COVAR    131   16231       43.305     0.068931       7.2962   1.5064e-09
Cluster305     COVAR    131   16231       18.214     0.045405       4.4684   2.3026e-05
Cluster132     COVAR    132   16231       43.015      0.06847       7.3086   2.0352e-09
Cluster306     COVAR    132   16231       17.549     0.037553       5.3222   0.00048939
Cluster132     COVAR    133   16231       42.854     0.068213       7.3132    2.377e-09
Cluster307     COVAR    133   16231       18.693     0.037818       5.7551   0.00058265
Cluster132     COVAR    134   16231        43.03     0.068493        7.308   2.0049e-09
Cluster311     COVAR    134   16231       13.801     0.041101       4.1565   0.00045081
Cluster132     COVAR    135   16231       43.946     0.069951       7.2918   8.6054e-10
Cluster328     COVAR    135   16231       24.481     0.041597       6.7675   0.00014937
Cluster132     COVAR    136   16231       43.461     0.069179       7.2966   1.3255e-09
Cluster332     COVAR    136   16231       27.824     0.044689       7.4709   9.8373e-05
Cluster132     COVAR    137   16231       41.791     0.066521       7.3465   6.5554e-09
Cluster359     COVAR    137   16231       23.759     0.038923       7.2828   0.00055403
Cluster132     COVAR    138   16231       41.596     0.066211       7.3556   7.9649e-09
Cluster360     COVAR    138   16231       24.048      0.03973       7.4411   0.00061688
Cluster132     COVAR    139   16231       41.127     0.065465       7.3952   1.3665e-08
Cluster370     COVAR    139   16231       25.007     0.034765        8.511    0.0016535
Cluster132     COVAR    140   16231       43.111     0.068623       7.3059   1.8553e-09
Cluster377     COVAR    140   16231       23.253     0.037992       6.9477   0.00040987
Cluster132     COVAR    141   16231       43.075     0.068564       7.2984   1.8437e-09
Cluster386     COVAR    141   16231       25.376     0.046492       6.0731   1.4775e-05
Cluster132     COVAR    142   16231       41.755     0.066464       7.3553   7.0151e-09
Cluster388     COVAR    142   16231       18.523      0.03626       6.0087    0.0010277
Cluster132     COVAR    143   16231       39.606     0.063043       7.3909   4.2655e-08
Cluster389     COVAR    143   16231       34.266     0.050435       8.1711    1.383e-05
Cluster132     COVAR    144   16231         41.8     0.066535       7.3239   5.8719e-09
Cluster396     COVAR    144   16231        27.71     0.048085       6.7989   2.3085e-05
Cluster132     COVAR    145   16231       41.961     0.066792       7.3507   5.8329e-09
Cluster403     COVAR    145   16231       19.023      0.03462       6.3738    0.0014231
Cluster132     COVAR    146   16231        39.93     0.063558       7.5403   6.0364e-08
Cluster404     COVAR    146   16231       25.463     0.029402       10.094    0.0058302
Cluster132     COVAR    147   16231       39.685     0.063169       7.4783   5.6775e-08
Cluster405     COVAR    147   16231       30.918     0.037147       10.121    0.0011289
Cluster132     COVAR    148   16231       43.805     0.069728       7.2916   9.6775e-10
Cluster410     COVAR    148   16231       18.929     0.043656       4.7816   3.7876e-05
Cluster132     COVAR    149   16231       42.905     0.068294       7.3111   2.2565e-09
Cluster415     COVAR    149   16231       22.264     0.036898         6.75   0.00048775
Cluster132     COVAR    150   16231       43.036     0.068504       7.3038   1.9538e-09
Cluster416     COVAR    150   16231        24.39     0.044151       6.6713   0.00012867
Cluster132     COVAR    151   16231       43.125     0.068645       7.3056   1.8313e-09
Cluster417     COVAR    151   16231       24.992     0.039259       7.4656   0.00040869
Cluster132     COVAR    152   16231       42.346     0.067405       7.3195   3.7065e-09
Cluster419     COVAR    152   16231       32.832     0.043128       9.1038   0.00015587
Cluster132     COVAR    153   16231       41.327     0.065783       7.3347   8.9751e-09
Cluster422     COVAR    153   16231       38.549     0.049266         9.31   1.7433e-05
Cluster132     COVAR    154   16231       39.222     0.062432       7.3815    5.469e-08
Cluster424     COVAR    154   16231       47.669     0.055302       10.165    1.384e-06
Cluster132     COVAR    155   16231       42.193     0.067161       7.3393   4.5998e-09
Cluster425     COVAR    155   16231        28.99     0.035593       9.5583    0.0012132
Cluster132     COVAR    156   16231       40.171     0.063943       7.3554   2.4066e-08
Cluster426     COVAR    156   16231       49.242     0.054347       10.765   2.4102e-06
Cluster132     COVAR    157   16231       42.395     0.067483       7.3229   3.6175e-09
Cluster427     COVAR    157   16231       29.656      0.03871       8.7669   0.00035996
Cluster132     COVAR    158   16231       41.413      0.06592       7.3242        8e-09
Cluster428     COVAR    158   16231       41.503     0.053158       9.1915   3.1893e-06
Cluster132     COVAR    159   16231        42.65     0.067889       7.3128   2.8035e-09
Cluster439     COVAR    159   16231       22.916     0.041685       6.4246   0.00018128
Cluster133     COVAR    160   16231       34.878     0.044829       10.197   0.00031368
Cluster136     COVAR    160   16231       17.471     0.031472       6.8447    0.0053546
Cluster133     COVAR    161   16231         35.8     0.046013       10.325   0.00026378
Cluster137     COVAR    161   16231       18.169     0.029049       8.3739     0.015023
Cluster133     COVAR    162   16231        33.65     0.043249       10.629   0.00077476
Cluster139     COVAR    162   16231       20.719     0.031579       8.9788     0.010521
Cluster133     COVAR    163   16231       24.332     0.031274       12.014     0.021431
Cluster140     COVAR    163   16231       31.278     0.043067       11.238    0.0026948
Cluster133     COVAR    164   16231       28.402     0.036504       11.257    0.0058252
Cluster141     COVAR    164   16231       27.037     0.038938       10.022    0.0034946
Cluster133     COVAR    165   16231       34.284     0.044065       11.056   0.00096625
Cluster149     COVAR    165   16231       19.209     0.025884       10.241     0.030361
Cluster133     COVAR    166   16231       35.063     0.045066        9.915   0.00020358
Cluster155     COVAR    166   16231       29.048     0.038557       9.4758    0.0010888
Cluster133     COVAR    167   16231       31.768     0.040831       10.527    0.0012763
Cluster177     COVAR    167   16231       26.839     0.037614        9.612    0.0026216
Cluster133     COVAR    168   16231       35.253      0.04531       9.9276   0.00019256
Cluster178     COVAR    168   16231       23.404     0.037416       7.8598    0.0014551
Cluster133     COVAR    169   16231       41.039     0.052747       9.4352    6.874e-06
Cluster206     COVAR    169   16231       17.231     0.034664        5.753    0.0013739
Cluster133     COVAR    170   16231       39.789      0.05114       9.5018   1.4196e-05
Cluster217     COVAR    170   16231       31.017     0.037176       10.157    0.0011326
Cluster133     COVAR    171   16231       40.668     0.052269       9.4417   8.3289e-06
Cluster225     COVAR    171   16231       24.137     0.037765       7.6495   0.00080331
Cluster133     COVAR    172   16231       41.218     0.052976       9.3967     5.81e-06
Cluster227     COVAR    172   16231       28.028     0.040956       8.0056   0.00023255
Cluster133     COVAR    173   16231       33.769     0.043402       9.5418   0.00020153
Cluster228     COVAR    173   16231       53.232     0.067569       9.4988   1.0699e-08
Cluster133     COVAR    174   16231       38.278     0.049198       9.4839   2.7344e-05
Cluster229     COVAR    174   16231       34.233     0.047566       8.4596   2.6134e-05
Cluster133     COVAR    175   16231       40.211     0.051683       9.4081   9.6674e-06
Cluster230     COVAR    175   16231       32.545     0.048868       8.1073   2.9993e-05
Cluster133     COVAR    176   16231        36.66     0.047119       9.4601   5.3538e-05
Cluster231     COVAR    176   16231       48.024     0.064033       9.0886   6.4303e-08
Cluster133     COVAR    177   16231       39.885     0.051263       9.4304   1.1803e-05
Cluster232     COVAR    177   16231       33.463     0.045532        8.743   6.5076e-05
Cluster133     COVAR    178   16231       38.226     0.049131         9.42   2.4905e-05
Cluster233     COVAR    178   16231        45.69     0.060732       8.9361   1.6093e-07
Cluster133     COVAR    179   16231       38.574     0.049579       9.4118   2.0928e-05
Cluster234     COVAR    179   16231       49.056     0.060857       9.6743   2.0097e-07
Cluster133     COVAR    180   16231       36.689     0.047155         9.61    6.767e-05
Cluster239     COVAR    180   16231       34.621       0.0465       9.2993   9.8882e-05
